,Word,count,anger,sad,anx,posemo,negemo,tone,total_counts,main_emotion,emotion,negative_emotion
1680,dismissive,7,1.09,1.1385714285714286,1.4842857142857144,2.4142857142857146,4.295714285714286,15.31,14,anx,negemo,anx
1681,fort,7,1.5699999999999998,0.9685714285714286,0.0,4.084285714285714,3.82,34.76285714285714,14,posemo,posemo,anger
1682,frighten,7,3.3371428571428576,1.0971428571428572,2.6,4.788571428571429,7.40857142857143,15.177142857142856,14,anger,negemo,anger
1683,slowly,7,1.512857142857143,0.8328571428571429,0.0,5.022857142857143,2.9471428571428575,59.255714285714284,14,posemo,posemo,anger
1684,foundation,7,1.437142857142857,0.0,0.65,2.9357142857142855,2.3728571428571428,44.15571428571429,14,posemo,posemo,anger
1685,travel,7,3.051428571428571,1.2285714285714284,0.9199999999999999,3.1185714285714283,5.567142857142857,30.72714285714286,14,anger,negemo,anger
1686,penalty,7,1.9028571428571428,1.3414285714285714,0.6342857142857143,0.6928571428571428,5.791428571428571,11.98142857142857,14,anger,negemo,anger
1687,frame,7,1.1885714285714286,0.0,0.0,2.6714285714285713,2.6,42.90714285714285,14,posemo,posemo,anger
1688,degree,7,2.8485714285714283,0.6614285714285714,0.0,2.704285714285714,4.198571428571428,23.09,14,anger,negemo,anger
1689,hair,7,1.587142857142857,0.33999999999999997,0.65,1.9628571428571429,4.198571428571428,12.335714285714285,14,anger,negemo,anger
1690,chair,7,1.3685714285714285,1.3685714285714285,0.26,0.6828571428571429,4.401428571428572,4.728571428571429,14,anger,negemo,anger
1691,g,7,2.904285714285714,0.35714285714285715,0.0,2.665714285714286,3.6185714285714283,31.22714285714286,14,anger,negemo,anger
1692,draw,7,2.365714285714286,0.35714285714285715,0.0,1.2957142857142858,3.422857142857143,21.298571428571428,14,anger,negemo,anger
1693,terribly,7,1.9357142857142857,0.0,0.5914285714285715,1.7099999999999997,8.224285714285715,1.6242857142857143,14,anger,negemo,anger
1694,endure,7,1.4457142857142855,1.1771428571428573,0.6442857142857142,4.542857142857143,5.607142857142857,29.027142857142856,14,anger,negemo,anger
1695,ball,7,3.1057142857142854,0.0,0.0,4.217142857142857,3.9057142857142857,41.33857142857143,14,posemo,posemo,anger
1696,jack,7,2.1014285714285714,0.0,0.0,4.737142857142857,2.882857142857143,46.57142857142857,14,posemo,posemo,anger
1697,honorable,7,1.9499999999999997,0.44571428571428573,0.7085714285714285,6.485714285714287,4.145714285714286,62.49857142857143,14,posemo,posemo,anger
1698,priest,7,2.18,0.0,0.35714285714285715,3.0614285714285714,3.902857142857143,46.49428571428571,14,anger,negemo,anger
1699,decade,7,1.9685714285714286,0.0,1.2642857142857142,2.117142857142857,4.811428571428571,21.28142857142857,14,anger,negemo,anger
1700,round,7,0.40857142857142853,0.0,1.2842857142857143,4.011428571428572,3.6457142857142855,46.47571428571428,14,posemo,posemo,anx
1701,art,7,2.0385714285714287,1.2328571428571427,0.0,3.7971428571428567,3.2714285714285714,32.87857142857143,14,posemo,posemo,anger
1702,undermine,7,2.2600000000000002,0.8385714285714286,0.7657142857142857,2.5585714285714287,8.422857142857143,8.077142857142857,14,anger,negemo,anger
1703,virginity,7,4.302857142857143,1.6271428571428572,0.8042857142857143,0.9142857142857144,7.114285714285714,4.538571428571428,14,anger,negemo,anger
1704,bottom,7,2.4971428571428573,0.2857142857142857,0.2857142857142857,2.904285714285714,5.094285714285713,22.884285714285717,14,anger,negemo,anger
1705,capital,7,5.867142857142857,0.0,0.6699999999999999,1.0371428571428571,7.5,4.538571428571428,14,anger,negemo,anger
1706,constantly,7,4.08,0.3242857142857143,0.35714285714285715,2.722857142857143,7.485714285714287,24.562857142857144,14,anger,negemo,anger
1707,twist,7,1.3857142857142857,0.0,0.65,1.9128571428571426,3.6599999999999997,15.634285714285713,14,anger,negemo,anger
1708,representative,7,2.874285714285714,1.4014285714285712,1.19,2.2742857142857145,5.8742857142857146,29.468571428571426,14,anger,negemo,anger
1709,replace,7,1.81,0.7257142857142858,1.6385714285714283,6.535714285714286,5.928571428571429,46.01571428571428,14,posemo,posemo,anger
1710,design,7,2.744285714285714,0.0,0.0,3.174285714285714,3.164285714285714,26.178571428571434,14,posemo,posemo,anger
1711,express,7,0.62,0.7328571428571429,0.3657142857142857,3.5042857142857144,1.7185714285714284,39.77428571428572,14,posemo,posemo,sad
1712,blatant,7,3.1157142857142857,0.0,0.0,0.43285714285714283,4.418571428571428,4.622857142857143,14,anger,negemo,anger
